 0.000000 79840.159840159846000 319.360958721595470
 100.000000 7063.545716788350500 2058.375120888522400
 200.000000 3521.478267524288600 1021.200390727744300
 300.000000 2346.378613787602300 679.765034400850250
 400.000000 1759.261611367287700 509.616044229431170
 500.000000 1408.204614378850900 408.633609299923760
 600.000000 1171.205805103222700 342.851580725010140
 700.000000 1003.688254276789200 281.834684395269280
 800.000000 883.614223529962030 245.432469886880510
 900.000000 788.731063227125900 232.024757815740120
 1000.000000 707.878619869540900 217.286297054490030
 1100.000000 639.650082791389540 198.115513397368090
 1200.000000 582.428424281998220 183.936376821886880
 1300.000000 532.778093151514100 175.095277659255910
 1400.000000 488.527170956829540 164.683076997214330
 1500.000000 -1.#IND00000000000 -1.#IND00000000000
 1600.000000 -1.#IND00000000000 -1.#IND00000000000
 1700.000000 -1.#IND00000000000 -1.#IND00000000000
 1800.000000 -1.#IND00000000000 -1.#IND00000000000
 1900.000000 -1.#IND00000000000 -1.#IND00000000000
 2000.000000 -1.#IND00000000000 -1.#IND00000000000
 2100.000000 -1.#IND00000000000 -1.#IND00000000000
 2200.000000 -1.#IND00000000000 -1.#IND00000000000
 2300.000000 -1.#IND00000000000 -1.#IND00000000000
 2400.000000 -1.#IND00000000000 -1.#IND00000000000
 2500.000000 -1.#IND00000000000 -1.#IND00000000000
 2600.000000 -1.#IND00000000000 -1.#IND00000000000
 2700.000000 -1.#IND00000000000 -1.#IND00000000000
 2800.000000 -1.#IND00000000000 -1.#IND00000000000
 2900.000000 -1.#IND00000000000 -1.#IND00000000000
 3000.000000 -1.#IND00000000000 -1.#IND00000000000
 3100.000000 -1.#IND00000000000 -1.#IND00000000000
 3200.000000 -1.#IND00000000000 -1.#IND00000000000
 3300.000000 -1.#IND00000000000 -1.#IND00000000000
 3400.000000 -1.#IND00000000000 -1.#IND00000000000
 3500.000000 -1.#IND00000000000 -1.#IND00000000000
 3600.000000 -1.#IND00000000000 -1.#IND00000000000
 3700.000000 -1.#IND00000000000 -1.#IND00000000000
 3800.000000 -1.#IND00000000000 -1.#IND00000000000
 3900.000000 -1.#IND00000000000 -1.#IND00000000000
 4000.000000 -1.#IND00000000000 -1.#IND00000000000
 4100.000000 -1.#IND00000000000 -1.#IND00000000000
 4200.000000 -1.#IND00000000000 -1.#IND00000000000
 4300.000000 -1.#IND00000000000 -1.#IND00000000000
 4400.000000 -1.#IND00000000000 -1.#IND00000000000
 4500.000000 -1.#IND00000000000 -1.#IND00000000000
 4600.000000 -1.#IND00000000000 -1.#IND00000000000
 4700.000000 -1.#IND00000000000 -1.#IND00000000000
 4800.000000 -1.#IND00000000000 -1.#IND00000000000
 4900.000000 -1.#IND00000000000 -1.#IND00000000000
 5000.000000 -1.#IND00000000000 -1.#IND00000000000
 5100.000000 -1.#IND00000000000 -1.#IND00000000000
 5200.000000 -1.#IND00000000000 -1.#IND00000000000
 5300.000000 -1.#IND00000000000 -1.#IND00000000000
 5400.000000 -1.#IND00000000000 -1.#IND00000000000
 5500.000000 -1.#IND00000000000 -1.#IND00000000000
 5600.000000 -1.#IND00000000000 -1.#IND00000000000
 5700.000000 -1.#IND00000000000 -1.#IND00000000000
 5800.000000 -1.#IND00000000000 -1.#IND00000000000
 5900.000000 -1.#IND00000000000 -1.#IND00000000000
 6000.000000 -1.#IND00000000000 -1.#IND00000000000
 6100.000000 -1.#IND00000000000 -1.#IND00000000000
 6200.000000 -1.#IND00000000000 -1.#IND00000000000
 6300.000000 -1.#IND00000000000 -1.#IND00000000000
 6400.000000 -1.#IND00000000000 -1.#IND00000000000
 6500.000000 -1.#IND00000000000 -1.#IND00000000000
 6600.000000 -1.#IND00000000000 -1.#IND00000000000
 6700.000000 -1.#IND00000000000 -1.#IND00000000000
 6800.000000 -1.#IND00000000000 -1.#IND00000000000
 6900.000000 -1.#IND00000000000 -1.#IND00000000000
 7000.000000 -1.#IND00000000000 -1.#IND00000000000
 7100.000000 -1.#IND00000000000 -1.#IND00000000000
 7200.000000 -1.#IND00000000000 -1.#IND00000000000
 7300.000000 -1.#IND00000000000 -1.#IND00000000000
 7400.000000 -1.#IND00000000000 -1.#IND00000000000
 7500.000000 -1.#IND00000000000 -1.#IND00000000000
 7600.000000 -1.#IND00000000000 -1.#IND00000000000
 7700.000000 -1.#IND00000000000 -1.#IND00000000000
 7800.000000 -1.#IND00000000000 -1.#IND00000000000
 7900.000000 -1.#IND00000000000 -1.#IND00000000000
 8000.000000 -1.#IND00000000000 -1.#IND00000000000
 8100.000000 -1.#IND00000000000 -1.#IND00000000000
 8200.000000 -1.#IND00000000000 -1.#IND00000000000
 8300.000000 -1.#IND00000000000 -1.#IND00000000000
 8400.000000 -1.#IND00000000000 -1.#IND00000000000
 8500.000000 -1.#IND00000000000 -1.#IND00000000000
 8600.000000 -1.#IND00000000000 -1.#IND00000000000
 8700.000000 -1.#IND00000000000 -1.#IND00000000000
 8800.000000 -1.#IND00000000000 -1.#IND00000000000
 8900.000000 -1.#IND00000000000 -1.#IND00000000000
 9000.000000 -1.#IND00000000000 -1.#IND00000000000
 9100.000000 -1.#IND00000000000 -1.#IND00000000000
 9200.000000 -1.#IND00000000000 -1.#IND00000000000
 9300.000000 -1.#IND00000000000 -1.#IND00000000000
 9400.000000 -1.#IND00000000000 -1.#IND00000000000
 9500.000000 -1.#IND00000000000 -1.#IND00000000000
 9600.000000 -1.#IND00000000000 -1.#IND00000000000
 9700.000000 -1.#IND00000000000 -1.#IND00000000000
 9800.000000 -1.#IND00000000000 -1.#IND00000000000
 9900.000000 -1.#IND00000000000 -1.#IND00000000000
